doi,relevant_text_extraction,synthesis_procedure_extraction,in_final_dataset
10.1016/j.bsecv.2020.03.006,true,true,true
10.1016/j.bsecv.2021.07.003,true,true,true
10.1016/j.carbon.2014.10.002,true,true,true
10.1016/j.carbon.2018.06.053,true,true,true
10.1016/j.carbon.2019.10.072,true,true,true
10.1016/j.carbon.2024.119252,true,true,true
10.1016/j.ceja.2021.100209,true,true,true
10.1016/j.ceramint.2016.08.202,true,true,true
10.1016/j.ceramint.2018.04.071,true,true,true
10.1016/j.ceramint.2021.01.008,true,true,true
10.1016/j.ceramint.2021.03.275,true,true,true
10.1016/j.ceramint.2022.04.110,true,true,true
10.1016/j.ceramint.2023.08.330,true,true,true
10.1016/j.cocom.2015.03.003,true,true,true
10.1016/j.csite.2018.05.006,false,false,false
10.1016/j.csite.2019.100580,true,true,true
10.1016/j.dib.2017.05.041,false,false,false
10.1016/j.egypro.2014.07.132,true,true,true
10.1016/j.egypro.2014.11.1024,true,true,true
10.1016/j.egypro.2015.03.257,true,true,true
10.1016/j.egypro.2017.03.140,true,true,true
10.1016/j.elecom.2008.08.017,true,true,true
10.1016/j.elecom.2009.12.016,true,true,true
10.1016/j.elecom.2022.107333,true,true,true
10.1016/j.elecom.2022.107341,true,true,true
10.1016/j.electacta.2017.02.092,true,true,true
10.1016/j.electacta.2021.139738,true,true,true
10.1016/j.esci.2022.07.004,true,true,true
10.1016/j.gce.2022.03.002,true,true,true
10.1016/j.gee.2022.03.006,true,true,true
10.1016/j.ijhydene.2023.05.323,true,true,true
10.1016/j.isci.2018.05.005,true,true,true
10.1016/j.isci.2019.02.019,true,true,true
10.1016/j.isci.2019.100753,true,true,true
10.1016/j.isci.2020.101632,false,false,false
10.1016/j.jallcom.2015.01.149,true,true,true
10.1016/j.jallcom.2015.11.204,true,true,true
10.1016/j.jallcom.2017.10.033,true,true,true
10.1016/j.jallcom.2018.01.235,true,true,true
10.1016/j.jallcom.2018.03.074,true,true,true
10.1016/j.jallcom.2018.05.260,true,true,true
10.1016/j.jallcom.2019.02.199,true,true,true
10.1016/j.jallcom.2019.152596,true,true,true
10.1016/j.jallcom.2020.156169,true,true,true
10.1016/j.jallcom.2020.158069,true,true,true
10.1016/j.jallcom.2020.158365,true,true,true
10.1016/j.jallcom.2021.163248,true,true,true
10.1016/j.jallcom.2022.164074,true,true,true
10.1016/j.jallcom.2022.165743,true,true,true
10.1016/j.jallcom.2022.166379,true,true,true
10.1016/j.jallcom.2023.170250,true,true,true
10.1016/j.jascer.2013.05.002,true,true,true
10.1016/j.jascer.2013.06.006,true,true,true
10.1016/j.jascer.2014.09.001,true,true,true
10.1016/j.jaubas.2012.09.005,true,true,true
10.1016/j.jcrysgro.2013.05.020,true,true,true
10.1016/j.jeurceramsoc.2013.07.001,true,true,true
10.1016/j.jeurceramsoc.2015.09.034,true,true,true
10.1016/j.jeurceramsoc.2019.09.024,true,true,true
10.1016/j.jeurceramsoc.2019.11.027,true,true,true
10.1016/j.jeurceramsoc.2020.08.024,true,true,true
10.1016/j.jksus.2022.101963,true,true,true
10.1016/j.jma.2020.12.001,true,true,true
10.1016/j.jma.2021.11.013,true,true,true
10.1016/j.jmat.2015.01.001,true,false,false
10.1016/j.jmat.2015.03.007,true,true,true
10.1016/j.jmat.2015.03.008,true,true,true
10.1016/j.jmat.2015.07.007,true,true,true
10.1016/j.jmat.2015.09.001,true,true,true
10.1016/j.jmat.2016.05.001,true,true,true
10.1016/j.jmat.2016.05.003,true,true,true
10.1016/j.jmat.2016.05.005,true,true,true
10.1016/j.jmat.2016.05.008,true,true,true
10.1016/j.jmat.2016.05.009,true,true,true
10.1016/j.jmat.2016.09.001,true,true,true
10.1016/j.jmat.2017.05.001,true,true,true
10.1016/j.jmat.2017.06.002,true,true,true
10.1016/j.jmat.2017.07.003,true,true,true
10.1016/j.jmat.2017.11.001,true,true,true
10.1016/j.jmat.2017.12.002,true,true,true
10.1016/j.jmat.2018.02.002,true,true,true
10.1016/j.jmat.2018.04.001,true,false,false
10.1016/j.jmat.2018.05.008,true,true,true
10.1016/j.jmat.2018.11.003,true,true,true
10.1016/j.jmat.2018.12.002,true,true,true
10.1016/j.jmat.2018.12.004,true,true,true
10.1016/j.jmat.2019.01.008,true,true,true
10.1016/j.jmat.2019.01.013,true,true,true
10.1016/j.jmat.2019.04.007,true,true,true
10.1016/j.jmat.2019.06.002,true,true,true
10.1016/j.jmat.2019.06.005,true,true,true
10.1016/j.jmat.2019.12.003,true,true,true
10.1016/j.jmat.2019.12.007,true,true,true
10.1016/j.jmat.2020.02.004,true,true,true
10.1016/j.jmat.2020.02.009,true,true,true
10.1016/j.jmat.2020.04.001,true,true,true
10.1016/j.jmat.2020.06.004,true,true,true
10.1016/j.jmat.2020.07.012,true,true,true
10.1016/j.jmat.2020.08.002,true,true,true
10.1016/j.jmat.2020.08.008,true,true,true
10.1016/j.jmat.2020.09.005,true,true,true
10.1016/j.jmat.2020.11.001,true,true,true
10.1016/j.jmat.2020.11.007,true,true,true
10.1016/j.jmat.2020.11.014,true,true,true
10.1016/j.jmat.2020.12.001,true,true,true
10.1016/j.jmat.2021.02.013,true,true,true
10.1016/j.jmat.2021.02.019,true,true,true
10.1016/j.jmmm.2015.05.012,true,true,true
10.1016/j.jmmm.2016.12.009,true,true,true
10.1016/j.jmmm.2018.05.004,true,true,true
10.1016/j.jmmm.2018.05.060,true,true,true
10.1016/j.jmmm.2019.02.088,true,true,true
10.1016/j.jmmm.2020.166622,true,true,true
10.1016/j.jmmm.2021.168928,true,true,true
10.1016/j.jmrt.2019.02.007,true,true,true
10.1016/j.jmrt.2019.07.001,true,true,true
10.1016/j.jmrt.2020.03.113,true,true,true
10.1016/j.jmrt.2020.08.027,true,true,true
10.1016/j.jmrt.2020.12.064,true,true,true
10.1016/j.jmrt.2021.03.001,true,true,true
10.1016/j.jmrt.2021.07.142,true,true,true
10.1016/j.jmrt.2021.12.099,true,true,true
10.1016/j.jmrt.2022.01.106,true,true,true
10.1016/j.joule.2017.07.018,true,true,true
10.1016/j.jpowsour.2013.10.118,true,true,true
10.1016/j.jpowsour.2016.07.023,true,true,true
10.1016/j.jpowsour.2016.07.082,true,true,true
10.1016/j.jpowsour.2018.11.077,true,true,true
10.1016/j.jpowsour.2019.04.114,true,true,true
10.1016/j.jpowsour.2019.226895,true,true,true
10.1016/j.jpowsour.2019.227576,true,true,true
10.1016/j.jpowsour.2021.229691,true,true,true
10.1016/j.jpowsour.2023.232746,true,true,true
10.1016/j.jsamd.2016.03.005,true,true,true
10.1016/j.jsamd.2016.05.005,true,true,true
10.1016/j.jsamd.2018.07.002,true,true,true
10.1016/j.jsamd.2019.03.002,true,true,true
10.1016/j.jsamd.2019.04.006,true,true,true
10.1016/j.jscs.2013.12.010,true,true,true
10.1016/j.jscs.2018.06.008,true,true,true
10.1016/j.jssc.2004.03.026,true,true,true
10.1016/j.jssc.2015.04.044,true,true,true
10.1016/j.jssc.2019.03.046,true,false,false
10.1016/j.jssc.2019.04.041,true,true,true
10.1016/j.kijoms.2018.01.001,true,true,true
10.1016/j.matchemphys.2020.122812,true,true,true
10.1016/j.matdes.2015.08.096,true,true,true
10.1016/j.matdes.2018.09.025,true,true,true
10.1016/j.matdes.2019.108263,true,true,true
10.1016/j.matdes.2021.110060,true,true,true
10.1016/j.materresbull.2011.08.011,true,true,true
10.1016/j.matlet.2017.01.031,true,true,true
10.1016/j.matlet.2017.08.009,true,true,true
10.1016/j.matlet.2018.01.074,true,true,true
10.1016/j.matlet.2019.07.053,true,true,true
10.1016/j.mattod.2017.02.007,true,true,true
10.1016/j.mlblux.2022.100147,true,true,true
10.1016/j.molliq.2019.112024,true,true,true
10.1016/j.mset.2018.11.001,true,true,true
10.1016/j.mssp.2016.07.024,true,true,true
10.1016/j.mtadv.2020.100094,true,true,true
10.1016/j.mtcomm.2019.100820,true,true,true
10.1016/j.mtla.2024.102189,true,true,true
10.1016/j.mtphys.2020.100215,true,true,true
10.1016/j.nanoen.2012.02.010,true,true,true
10.1016/j.nanoen.2016.08.063,true,true,true
10.1016/j.nanoen.2016.11.016,true,true,true
10.1016/j.nanoen.2020.105518,true,true,true
10.1016/j.nanoms.2023.01.001,true,true,true
10.1016/j.net.2020.07.016,true,true,true
10.1016/j.phpro.2009.11.008,true,true,true
10.1016/j.phpro.2009.11.054,true,true,true
10.1016/j.phpro.2013.07.023,true,true,true
10.1016/j.phpro.2014.10.033,true,true,true
10.1016/j.phpro.2015.12.114,true,true,true
10.1016/j.phpro.2015.12.158,true,true,true
10.1016/j.phpro.2015.12.173,true,true,true
10.1016/j.phpro.2015.12.181,true,true,true
10.1016/j.physb.2014.03.082,true,true,true
10.1016/j.pnsc.2013.06.007,true,true,true
10.1016/j.pnsc.2014.04.004,true,true,true
10.1016/j.pnsc.2014.05.009,true,true,true
10.1016/j.pnsc.2015.01.003,true,true,true
10.1016/j.pnsc.2016.06.003,true,true,true
10.1016/j.pnsc.2016.11.003,true,false,false
10.1016/j.pnsc.2017.02.009,true,true,true
10.1016/j.pnsc.2018.01.012,true,true,true
10.1016/j.pnsc.2018.02.007,true,true,true
10.1016/j.pnsc.2018.05.002,true,true,true
10.1016/j.pnsc.2018.08.008,true,true,true
10.1016/j.pnsc.2019.12.007,true,true,true
10.1016/j.proche.2012.10.066,false,false,false
10.1016/j.proeng.2011.12.430,true,true,true
10.1016/j.proeng.2012.01.1314,true,true,true
10.1016/j.proeng.2012.03.063,true,true,true
10.1016/j.proeng.2012.07.360,true,true,true
10.1016/j.proeng.2013.09.246,true,true,true
10.1016/j.proeng.2013.10.011,false,false,false
10.1016/j.proeng.2014.11.826,true,true,true
10.1016/j.proeng.2017.03.010,true,true,true
10.1016/j.proeng.2017.09.826,true,true,true
10.1016/j.rinma.2020.100148,true,true,true
10.1016/j.rinp.2013.09.006,true,true,true
10.1016/j.rinp.2016.03.010,true,true,true
10.1016/j.rinp.2016.04.008,true,true,true
10.1016/j.rinp.2016.09.018,true,true,true
10.1016/j.rinp.2016.11.041,true,false,false
10.1016/j.rinp.2017.03.032,false,false,false
10.1016/j.rinp.2017.08.035,true,true,true
10.1016/j.rinp.2017.11.033,true,true,true
10.1016/j.rinp.2017.12.062,true,true,true
10.1016/j.rinp.2018.02.022,true,true,true
10.1016/j.rinp.2018.04.044,true,true,true
10.1016/j.rinp.2018.05.044,true,true,true
10.1016/j.rinp.2018.07.038,true,true,true
10.1016/j.rinp.2018.12.016,true,true,true
10.1016/j.rinp.2019.01.011,true,true,true
10.1016/j.rinp.2019.01.036,true,true,true
10.1016/j.rinp.2019.102166,true,true,true
10.1016/j.rinp.2019.102244,true,true,true
10.1016/j.rinp.2019.102391,true,true,true
10.1016/j.rinp.2019.102492,true,true,true
10.1016/j.rinp.2019.102803,true,true,true
10.1016/j.rinp.2019.102916,true,true,true
10.1016/j.rinp.2020.102973,true,true,true
10.1016/j.rinp.2020.103350,true,true,true
10.1016/j.rinp.2022.106140,true,true,true
10.1016/j.scriptamat.2016.01.035,true,true,true
10.1016/j.scriptamat.2017.11.044,true,true,true
10.1016/j.scriptamat.2020.10.030,true,true,true
10.1016/j.seta.2019.100604,true,true,true
10.1016/j.solidstatesciences.2013.09.005,true,true,true
10.1016/j.ssi.2015.11.005,true,true,true
10.1016/j.ssi.2016.12.016,true,true,true
10.1016/j.ssi.2020.115322,true,true,true
10.1016/j.ssi.2021.115851,true,true,true
10.1016/j.stam.2003.09.009,true,true,true
10.1016/j.stam.2004.02.006,true,true,true
10.1016/j.xcrp.2021.100480,true,true,true
10.1016/s0022-3697(98)00324-2,true,true,true
10.1016/s0925-8388(99)00483-1,true,true,true
10.1016/s1002-0071(12)60066-5,true,true,true
10.1016/s1468-6996(00)00021-8,false,false,false
10.1021/acs.chemmater.0c03218,true,true,true
10.1021/acs.chemmater.1c00731,true,false,false
10.1021/acs.chemmater.5b04616,true,true,true
10.1021/acs.chemmater.6b03600,true,true,true
10.1021/acs.chemmater.6b04898,true,true,true
10.1021/acs.chemmater.9b00282,false,false,false
10.1021/acs.chemmater.9b05075,true,true,true
10.1021/acs.inorgchem.8b02956,true,true,true
10.1021/acs.jpcc.0c09139,true,true,true
10.1021/acs.langmuir.6b02201,true,true,true
10.1021/acs.nanolett.2c04216,true,true,true
10.1021/acsaem.8b00333,true,true,true
10.1021/acsaem.9b02137,true,true,true
10.1021/acsaem.9b02272,true,true,true
10.1021/acsami.0c16254,true,true,true
10.1021/acsami.0c19341,true,true,true
10.1021/acsami.0c21699,true,true,true
10.1021/acsami.7b06301,true,true,true
10.1021/acsami.8b03611,true,true,true
10.1021/acsami.9b06483,true,true,true
10.1021/acsami.9b12256,true,true,true
10.1021/acsanm.2c04537,true,true,true
10.1021/acsnano.1c09405,true,true,true
10.1021/acsnano.2c01992,true,true,true
10.1021/acsnano.2c03788,true,true,true
10.1021/acsnano.2c12392,true,true,true
10.1021/am100365y,true,true,true
10.1021/cm5045682,true,true,true
10.1021/jacs.1c09954,true,true,true
10.1021/jacsau.3c00035,true,true,true
10.1038/am.2013.15,true,true,true
10.1038/am.2013.86,true,true,true
10.1038/am.2016.134,true,true,true
10.1038/am.2016.67,true,true,true
10.1038/am.2016.77,true,true,true
10.1038/am.2016.97,true,true,true
10.1038/am.2017.8,true,true,true
10.1038/ncomms10287,true,true,true
10.1038/ncomms10892,false,false,false
10.1038/ncomms1112,true,true,true
10.1038/ncomms12146,true,false,false
10.1038/ncomms12167,true,true,true
10.1038/ncomms13713,true,true,true
10.1038/ncomms13714,true,true,true
10.1038/ncomms13828,true,true,true
10.1038/ncomms13901,true,true,true
10.1038/ncomms14627,true,true,true
10.1038/ncomms15001,true,true,true
10.1038/ncomms15070,true,true,true
10.1038/ncomms15515,true,true,true
10.1038/ncomms2038,true,true,true
10.1038/ncomms5598,true,true,true
10.1038/ncomms7197,true,false,false
10.1038/ncomms7362,true,false,false
10.1038/ncomms8436,true,true,true
10.1038/ncomms8584,true,true,true
10.1038/ncomms9144,true,true,true
10.1038/ncomms9356,true,true,true
10.1038/s41427-018-0085-7,true,true,true
10.1038/s41427-019-0116-z,true,true,true
10.1038/s41427-020-00247-y,true,true,true
10.1038/s41427-020-0197-8,true,true,true
10.1038/s41467-017-01149-4,true,true,true
10.1038/s41467-017-02566-1,true,true,true
10.1038/s41467-017-02667-x,true,true,true
10.1038/s41467-018-03866-w,true,true,true
10.1038/s41467-018-04660-4,true,true,true
10.1038/s41467-018-04958-3,true,true,true
10.1038/s41467-018-05153-0,true,true,true
10.1038/s41467-018-06251-9,true,true,true
10.1038/s41467-018-06688-y,true,true,true
10.1038/s41467-018-07484-4,true,true,true
10.1038/s41467-018-07877-5,true,true,true
10.1038/s41467-018-08223-5,true,true,true
10.1038/s41467-019-08542-1,true,false,false
10.1038/s41467-019-08784-z,true,false,false
10.1038/s41467-019-08835-5,true,true,true
10.1038/s41467-019-08883-x,true,true,true
10.1038/s41467-019-09682-0,true,true,true
10.1038/s41467-019-09921-4,true,true,true
10.1038/s41467-019-10476-7,true,true,true
10.1038/s41467-019-11124-w,true,true,true
10.1038/s41467-019-11458-5,true,true,true
10.1038/s41467-019-12144-2,true,true,true
10.1038/s41467-019-13270-7,true,true,true
10.1038/s41467-019-13293-0,true,false,false
10.1038/s41467-019-13421-w,true,true,true
10.1038/s41467-019-13461-2,true,true,true
10.1038/s41467-019-13773-3,true,true,true
10.1038/s41467-019-13999-1,true,true,true
10.1038/s41467-020-15143-w,true,true,true
10.1038/s41467-020-16740-5,true,true,true
10.1038/s41467-020-17274-6,true,false,false
10.1038/s41467-020-19537-8,true,true,true
10.1038/s41467-020-20420-9,true,true,true
10.1038/s41467-021-22064-9,true,true,true
10.1038/s41467-021-23155-3,true,true,true
10.1038/s41467-021-23569-z,true,true,true
10.1038/s41467-021-26706-w,true,true,true
10.1038/s41467-021-27795-3,true,true,true
10.1038/s41467-021-27866-5,true,true,true
10.1038/s41467-022-33743-6,true,true,true
10.1038/s41467-022-33774-z,true,true,true
10.1038/s41535-017-0038-3,true,true,true
10.1038/s41535-017-0040-9,true,true,true
10.1038/s41535-017-0044-5,true,true,true
10.1038/s41535-018-0080-9,true,true,true
10.1038/s41535-018-0136-x,true,true,true
10.1038/s41535-019-0148-1,true,true,true
10.1038/s41535-019-0161-4,true,true,true
10.1038/s41535-019-0200-1,true,true,true
10.1038/s41535-020-00286-2,true,true,true
10.1038/s41563-021-01064-6,true,true,true
10.1038/s41563-022-01203-7,true,true,true
10.1038/s41598-017-02507-4,true,true,true
10.1038/s41598-017-02742-9,true,true,true
10.1038/s41598-017-02784-z,true,true,true
10.1038/s41598-017-02813-x,true,true,true
10.1038/s41598-017-02944-1,true,true,true
10.1038/s41598-017-03762-1,true,true,true
10.1038/s41598-017-04348-7,true,true,true
10.1038/s41598-017-05428-4,true,true,true
10.1038/s41598-017-06640-y,true,true,true
10.1038/s41598-017-08160-1,true,true,true
10.1038/s41598-017-09572-9,true,false,false
10.1038/s41598-017-09792-z,true,true,true
10.1038/s41598-017-09897-5,true,true,true
10.1038/s41598-017-12792-8,true,true,true
10.1038/s41598-017-14013-8,true,true,true
10.1038/s41598-017-16479-y,true,true,true
10.1038/s41598-017-16761-z,true,true,true
10.1038/s41598-017-17077-8,true,false,false
10.1038/s41598-017-18788-8,true,true,true
10.1038/s41598-018-19448-1,true,true,true
10.1038/s41598-018-20606-8,true,true,true
10.1038/s41598-018-23011-3,true,true,true
10.1038/s41598-018-23460-w,true,true,true
10.1038/s41598-018-24872-4,true,true,true
10.1038/s41598-018-25230-0,true,true,true
10.1038/s41598-018-25464-y,true,true,true
10.1038/s41598-018-26362-z,true,true,true
10.1038/s41598-018-27949-2,true,true,true
10.1038/s41598-018-28043-3,true,true,true
10.1038/s41598-018-28921-w,false,false,false
10.1038/s41598-018-29907-4,true,true,true
10.1038/s41598-018-30132-2,true,true,true
10.1038/s41598-019-39786-y,true,true,true
10.1038/s41598-019-41000-y,true,true,true
10.1038/s41598-019-41818-6,true,true,true
10.1038/s41598-019-43639-z,true,true,true
10.1038/s41598-019-43911-2,true,true,true
10.1038/s41598-019-44225-z,true,true,true
10.1038/s41598-019-45162-7,true,true,true
10.1038/s41598-019-45697-9,true,true,true
10.1038/s41598-019-46834-0,true,true,true
10.1038/s41598-019-48662-8,true,true,true
10.1038/s41598-019-50118-y,true,true,true
10.1038/s41598-019-50657-4,true,true,true
10.1038/s41598-019-50754-4,true,true,true
10.1038/s41598-019-51079-y,true,true,true
10.1038/s41598-019-52231-4,true,true,true
10.1038/s41598-019-52654-z,true,true,true
10.1038/s41598-019-54451-0,true,true,true
10.1038/s41598-019-55458-3,true,true,true
10.1038/s41598-019-56602-9,true,true,true
10.1038/s41598-019-56672-9,false,false,false
10.1038/s41598-020-57434-8,true,true,true
10.1038/s41598-020-57991-y,true,true,true
10.1038/s41598-020-58998-1,true,true,true
10.1038/s41598-020-61460-x,true,true,true
10.1038/s41598-020-61583-1,true,true,true
10.1038/s41598-020-64435-0,true,true,true
10.1038/s41598-020-65818-z,true,true,true
10.1038/s41598-020-69414-z,true,true,true
10.1038/s41598-020-76554-9,true,true,true
10.1038/s41598-022-15250-2,true,true,true
10.1038/srep00523,true,true,true
10.1038/srep03212,true,true,true
10.1038/srep03449,true,true,true
10.1038/srep03542,true,true,true
10.1038/srep04390,true,false,false
10.1038/srep05774,true,true,true
10.1038/srep06265,true,true,true
10.1038/srep06411,true,true,true
10.1038/srep06805,true,true,true
10.1038/srep06888,true,true,true
10.1038/srep07671,true,true,true
10.1038/srep07806,true,false,false
10.1038/srep07863,true,true,true
10.1038/srep07951,true,true,true
10.1038/srep09320,true,true,true
10.1038/srep09567,false,false,false
10.1038/srep11010,true,true,true
10.1038/srep11889,true,true,true
10.1038/srep12135,true,true,true
10.1038/srep13621,true,true,true
10.1038/srep13706,false,false,false
10.1038/srep14112,true,true,true
10.1038/srep14414,true,true,true
10.1038/srep14641,true,true,true
10.1038/srep15089,true,true,true
10.1038/srep16291,true,true,true
10.1038/srep16384,true,true,true
10.1038/srep17803,true,true,true
10.1038/srep18342,true,false,false
10.1038/srep18805,true,true,true
10.1038/srep19014,true,true,true
10.1038/srep19129,true,true,true
10.1038/srep19775,true,true,true
10.1038/srep20402,false,false,false
10.1038/srep22504,true,false,false
10.1038/srep23143,true,true,true
10.1038/srep23415,true,true,true
10.1038/srep23672,true,true,true
10.1038/srep25436,true,true,true
10.1038/srep26774,true,true,true
10.1038/srep27212,true,true,true
10.1038/srep30074,true,true,true
10.1038/srep30194,true,true,true
10.1038/srep30530,true,true,true
10.1038/srep33135,true,true,true
10.1038/srep33409,true,true,true
10.1038/srep34295,true,true,true
10.1038/srep37296,true,true,true
10.1038/srep37701,true,true,true
10.1038/srep40224,true,true,true
10.1038/srep40436,true,true,true
10.1038/srep43262,true,true,true
10.1038/srep43759,true,true,true
10.1038/srep44621,true,true,true
10.1038/srep44704,true,true,true
10.1039/c2ee21554c,true,true,true
10.1039/c2jm31469j,true,true,true
